name,source,expected_attack_class,disclosure_date,notes
pytest-simple,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
torch-common,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
sqlalchemy-sync,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
spacy-cli,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
deepTransformers,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
openai4,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
click-official,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pyydantic,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
catboost-bindings,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
setuptools_main,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
numpy-v2,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
typer-common,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
superClick,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pre-commit-easy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
gensim-sdk,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
modernStarlette,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
django-pro,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
boto3-v2,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
setuptools-python,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
mlRequests,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
dask-extra,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
openai-py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
polars-binding,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
ray-helper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
lightning-client,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
django-easy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pytest-asyncio-wrapper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
opencv-addon,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
wheel-simple,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
wheel-lite,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
poetry-fix,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
wandb-client,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
dask-cli,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
numpy_core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
easyVirtualenv,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
fastapi4,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
transformers2024,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
neoAiohttp,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
twine4,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
flask-async,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
websockets_python,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
zRay,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
redis-bindings,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pydantic-kit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
asyncio-sdk,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
celery-async,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
tox-py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
starlette-modern,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
seaborn-api,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
fastLightning,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
click-next,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
lightning-extended,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
starlette-next,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
nextKafka,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
lightgbm-ext,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pillow-kit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
torch-py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
typer-toolkit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
requests_py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
catboost4,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
websockets-compat,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
redis3,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
django_core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
xSqlalchemy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
wheeel,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
xgboost_py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
virtualenv-client,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
spacy-v2,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
dask-lite,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
lightgbm-compat,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
neoSpacy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
nltk-common,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
anthropic-py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
polars-common,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
seaborn-addon,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
boto3-toolkit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
proSqlalchemy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
anthropic_python,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
django2,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
autoPytestasyncio,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
poetry-official,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
fastapi_main,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pytest-binding,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
virtualenv-common,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
torch_py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
tox-extended,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
fastapi-next,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
pyDjango,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
celery_python,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
lightning-toolkit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
wandb_main,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
websockets-toolkit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
smartPandas,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
celery-next,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
tensorflow-extras,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
transformers-fix,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
lightgbm-toolkit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
plusCatboost,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
xgboost-plus,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
mlFastapi,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
scikit-learn-easy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
spacy_core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
huggingface-hub-tools,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
lightgbm-sdk,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
transformers-async,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pip_py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
mlflow-easy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
starlette-easy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
openai_core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
websockets-sdk,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
aiCelery,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
nextGensim,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pipNumpy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
modernMypy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
flask_py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
openai-addon,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
django_main,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
tensorflow-client,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
lightgbm4,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
nltk-sync,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
torch2025,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
nextNumpy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
plusLightning,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
nltk-pro,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
matplotlib-compat,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
aiRequests,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
ray-tools,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
polars-async,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
smartRequests,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
nltk-wrapper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
openPytestasyncio,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
twine-ext,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
statsmodels-api,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
tensorflow-sdk,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
kafka-next,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
spacy-plus,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
gensim-ext,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
requests-extended,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
hyperCatboost,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
uvicorn-plus,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
click-helper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
setuptools-v2,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
httpx-extended,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
xTransformers,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
dask2024,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
pyBoto3,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
twine-helper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
langchain-next,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
boto3-binding,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
twine-extra,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
isort-helper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
huggingface-hub-pro,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
plusAsyncio,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
django-sync,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pytest-plus,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
fastapi-py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
ruff2024,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
langchain-client,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
xgboost3,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
poetry-extras,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pillow_main,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
anthropic-pro,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
langchain-simple,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
smartLightning,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
starlette3,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
pydantic-fast,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
typer-wrapper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
fastapi-pro,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
asyncio-sync,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
torch-simple,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
setuptools-toolkit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
easyRay,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
wheel-v2,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
sqlalchemy2025,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
black-lite,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
mlflow-plus,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
scikit-learn2025,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
lightning-plus,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
numpy-tools,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
mypy_core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
isort-pro,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
django-official,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
isort-utils,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
fastapi-helper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
flask_python,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
huggingface-hub-next,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
scikit-learn-ext,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
django-fast,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
django_py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
xMypy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
deepScipy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
scipy-client,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
redis-sync,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
opencv-binding,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
mlPydantic,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
lightning2024,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
lightning-next,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
lightning_core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
twine-wrapper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
kafka-compat,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
nltk-lite,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
isort3,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
mypy-bindings,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
celery-extra,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
httpx-sync,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pytest-toolkit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
torch-bindings,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
asyncio-official,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
nltk2025,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
uvvicorn,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
mypy3,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
polars-wrapper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
gensim_main,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
websockets-python,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
openai-utils,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
autoUvicorn,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
wheel_main,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
gensim-async,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
simpleMatplotlib,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
aiohttp-official,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pandas-client,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
virtulenv,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
scipy_py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
proBlack,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
starlette-simple,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
ray-cli,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pyHuggingfacehub,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pandas-utils,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
numpy-api,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
hyperXgboost,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
httpx4,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
aiNltk,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
ray-toolkit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pydantic2,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
numpy-bindings,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
tensorflow-toolkit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
asyncio_core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
aiohttp2025,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
starlette-sdk,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
mlflow-official,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
xgboost-sdk,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
typer_python,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pillow-sync,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
click-modern,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
statsmodels-next,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
httpx3,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
uvicorn-modern,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
requests-core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
plusBoto3,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
tensorflow-lite,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
catboost-sync,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
ruff2025,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
seaborn-ext,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
gunicorn-client,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
kafka-async,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pandas-bindings,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
ultraLangchain,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
xgboost_main,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pdyantic,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
redis-easy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
celery-extended,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
anthropic-plus,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
polars2025,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
celery-lite,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
scikit-learn2024,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
catboost-simple,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
